event_id,Mag,list_records,count_records
EMSC-20160824_0000013,5,"['IT.AMT.HGE.EMSC-20160824_0000013.csv', 'IT.AMT.HGN.EMSC-20160824_0000013.csv', 'IT.CSC.HGE.EMSC-20160824_0000013.csv', 'IT.CSC.HGN.EMSC-20160824_0000013.csv', 'IT.FOC.HGE.EMSC-20160824_0000013.csv', 'IT.FOC.HGN.EMSC-20160824_0000013.csv', 'IT.NRC.HGE.EMSC-20160824_0000013.csv', 'IT.NRC.HGN.EMSC-20160824_0000013.csv', 'IT.PCB.HGE.EMSC-20160824_0000013.csv', 'IT.PCB.HGN.EMSC-20160824_0000013.csv', 'IT.SPM.HGE.EMSC-20160824_0000013.csv', 'IT.SPM.HGN.EMSC-20160824_0000013.csv', 'IV.FEMA.HNE.EMSC-20160824_0000013.csv', 'IV.FEMA.HNN.EMSC-20160824_0000013.csv', 'IV.GUMA.HNE.EMSC-20160824_0000013.csv', 'IV.GUMA.HNN.EMSC-20160824_0000013.csv', 'IV.RM33.HNE.EMSC-20160824_0000013.csv', 'IV.RM33.HNN.EMSC-20160824_0000013.csv']",18
EMSC-20160824_0000020,3,"['IT.NRC.HGE.EMSC-20160824_0000020.csv', 'IT.NRC.HGN.EMSC-20160824_0000020.csv']",2
EMSC-20160824_0000036,4,"['IT.PCB.HGE.EMSC-20160824_0000036.csv', 'IT.PCB.HGN.EMSC-20160824_0000036.csv']",2
EMSC-20160824_0000050,4,"['IT.NOR.HGE.EMSC-20160824_0000050.csv', 'IT.NOR.HGN.EMSC-20160824_0000050.csv', 'IT.NRC.HGE.EMSC-20160824_0000050.csv', 'IT.NRC.HGN.EMSC-20160824_0000050.csv', 'IV.NRCA.HNE.EMSC-20160824_0000050.csv', 'IV.NRCA.HNN.EMSC-20160824_0000050.csv']",6
EMSC-20160824_0000172,4,"['IT.FOC.HGE.EMSC-20160824_0000172.csv', 'IT.FOC.HGN.EMSC-20160824_0000172.csv', 'IT.NRC.HGE.EMSC-20160824_0000172.csv', 'IT.NRC.HGN.EMSC-20160824_0000172.csv']",4
EMSC-20160824_0000232,4,"['IT.ACC.HGE.EMSC-20160824_0000232.csv', 'IT.ACC.HGN.EMSC-20160824_0000232.csv', 'IT.AMT.HGE.EMSC-20160824_0000232.csv', 'IT.AMT.HGN.EMSC-20160824_0000232.csv', 'IV.NRCA.HNE.EMSC-20160824_0000232.csv', 'IV.NRCA.HNN.EMSC-20160824_0000232.csv', 'IV.T1201.HNE.EMSC-20160824_0000232.csv', 'IV.T1201.HNN.EMSC-20160824_0000232.csv']",8
EMSC-20160824_0000295,4,"['IV.RM33.HNE.EMSC-20160824_0000295.csv', 'IV.RM33.HNN.EMSC-20160824_0000295.csv']",2
EMSC-20160825_0000024,4,"['IV.NRCA.HNE.EMSC-20160825_0000024.csv', 'IV.NRCA.HNN.EMSC-20160825_0000024.csv', 'IV.T1213.HNE.EMSC-20160825_0000024.csv', 'IV.T1213.HNN.EMSC-20160825_0000024.csv', 'IV.T1214.HNE.EMSC-20160825_0000024.csv', 'IV.T1214.HNN.EMSC-20160825_0000024.csv', 'IV.T1242.HNE.EMSC-20160825_0000024.csv', 'IV.T1242.HNN.EMSC-20160825_0000024.csv']",8
EMSC-20160825_0000096,4,"['IT.AMT.HGE.EMSC-20160825_0000096.csv', 'IT.AMT.HGN.EMSC-20160825_0000096.csv', 'IT.PCB.HGE.EMSC-20160825_0000096.csv', 'IT.PCB.HGN.EMSC-20160825_0000096.csv', 'IV.T1201.HNE.EMSC-20160825_0000096.csv', 'IV.T1201.HNN.EMSC-20160825_0000096.csv']",6
EMSC-20160826_0000013,4,"['IT.AMT.HGE.EMSC-20160826_0000013.csv', 'IT.AMT.HGN.EMSC-20160826_0000013.csv', 'IT.MSCT.HGE.EMSC-20160826_0000013.csv', 'IT.MSCT.HGN.EMSC-20160826_0000013.csv', 'IT.PCB.HGE.EMSC-20160826_0000013.csv', 'IT.PCB.HGN.EMSC-20160826_0000013.csv', 'IV.T1201.HNE.EMSC-20160826_0000013.csv', 'IV.T1201.HNN.EMSC-20160826_0000013.csv']",8
EMSC-20160828_0000077,4,"['IT.CLO.HGE.EMSC-20160828_0000077.csv', 'IT.CLO.HGN.EMSC-20160828_0000077.csv', 'IT.CNE.HGE.EMSC-20160828_0000077.csv', 'IT.CNE.HGN.EMSC-20160828_0000077.csv', 'IT.MMO.HGE.EMSC-20160828_0000077.csv', 'IT.MMO.HGN.EMSC-20160828_0000077.csv', 'IV.NRCA.HNE.EMSC-20160828_0000077.csv', 'IV.NRCA.HNN.EMSC-20160828_0000077.csv', 'IV.T1242.HNE.EMSC-20160828_0000077.csv', 'IV.T1242.HNN.EMSC-20160828_0000077.csv']",10
EMSC-20160903_0000009,4,"['IT.CMI.HGE.EMSC-20160903_0000009.csv', 'IT.CMI.HGN.EMSC-20160903_0000009.csv', 'IT.CNE.HGE.EMSC-20160903_0000009.csv', 'IT.CNE.HGN.EMSC-20160903_0000009.csv', 'IT.FOC.HGE.EMSC-20160903_0000009.csv', 'IT.FOC.HGN.EMSC-20160903_0000009.csv', 'IT.NCR.HGE.EMSC-20160903_0000009.csv', 'IT.NCR.HGN.EMSC-20160903_0000009.csv', 'IT.NOR.HGE.EMSC-20160903_0000009.csv', 'IT.NOR.HGN.EMSC-20160903_0000009.csv', 'IT.NRC.HGE.EMSC-20160903_0000009.csv', 'IT.NRC.HGN.EMSC-20160903_0000009.csv', 'IV.NRCA.HNE.EMSC-20160903_0000009.csv', 'IV.NRCA.HNN.EMSC-20160903_0000009.csv']",14
